S,Feedback,Sentiment
146,What a waste of time!,0
227,I'm a bit disappointed.,0
91,Made very sturdy.,1
763,This particular model would not work with my Motorola Q smartphone.,0
866,It's been my choice headset for years.Great sound.  good volume.  good noise cancellation.,1
615,the charger worked for about a week and then completely stopped charging my phone.,0
485,A Disappointment.,0
722,This is simply the BEST bluetooth headset for sound quality!,1
867,"Nice case, feels good in your hands.",1
501,This battery is an excellent bargain!,1
182,The sound quality is good and functionality is awesome.,1
698,"Because both ears are occupied, background is not distracting at all.",1
996,What a piece of junk.. I lose more calls on this phone.,0
43,I only hear garbage for audio.,0
469,"Looks great and is strong.""",1
195,"Light weight, I hardly notice it is there.",1
332,The reception is excellent!,1
290,Great Phone.,1
568,Great Product.,1
205,"great headset, very impressed - H500.",1
331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
948,nice leather.,1
524,Works great!.,1
136,Very good stuff for the price.,1
52,A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.,1
998,The only thing that disappoint me is the infra red port (irda).,0
323,I was able to do voice dialing in the car with no problem.,1
604,Poor Construction.,0
35,You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.,0
66,"A week later after I activated it, it suddenly died.",0
677,Truly awful.,0
309,They do not care about the consumer one bit.,0
955,Buttons are too small.,0
416,An Awesome New Look For Fall 2000!.,1
46,Who in their right mind is gonna buy this battery?.,0
433,I highly recommend this modest priced cellular phone.,1
47,AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.,0
723,Think it over when you plan to own this one!This sure is the last MOTO phone for me!,0
962,Also makes it easier to hold on to.,1
729,After receiving and using the product for just 2 days it broke.,0
858,"If I take a picture, the battery drops a bar, and starts beeping, letting me know its dieing.",0
398,"Sounds good reasonably priced and effective, Its that simple !",1
831,All three broke within two months of use.,0
487,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
80,I wear it everyday and it holds up very well.,1
620,"Steer clear of this product and go with the genuine Palm replacementr pens, which come in a three-pack.",0
1,"Good case, Excellent value.",1
163,Works like a charm.  it work the same as the one I got with the phone.,1
708,I bought this phone as a replacement for my StarTac and have regretted it since.,0
498,Bad Purchase.,0
982,don't waste your money.,0
466,No buyers remorse on this one!.,0
597,A pretty good product.,1
685,Easy to pair with my Samsung Cell.,1
959,"However, the keypads are so tinny that I sometimes reach the wrong buttons.",0
736,Krussel Always good.,1
562,"All in all, I'm quite satisfied with this purchase.",1
916,"While I managed to bend the leaf spring back in place, the metal now has enough stress that it will break on the next drop.",0
507,The holster that arrived did not match the photo in the ad.,0
448,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1
377,This is a VERY average phone with bad battery life that operates on a weak network.,0
856,Poor Reliability.,0
836,"Horrible, horrible protector.",0
482,"After charging overnight, these batteries work great.",1
399,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
367,"I had ordered a motorola data cable, got a very well finished and working product.",1
666,Nice Sound.,1
571,This fixes all the problems.,1
220,Freezes frequently4.,0
607,Sprint charges for this service.,0
737,"The tracfonewebsite is user friendly and makes it easy toactivate, etc.",1
839,I have bought this Nokia cell phone a few weeks ago and it was a nightmare.,0
31,This product is ideal for people like me whose ears are very sensitive.,1
252,It's very attractive and appears to be of good quality.,1
242,Worst Customer Service Ever.,0
180,Don't buy this product.,0
61,"I really recommend this faceplates since it looks very nice, elegant and cool.",1
38,The case is great and works fine with the 680.,1
580,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",1
15,Highly recommend for any one who has a blue tooth phone.,1
557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",1
175,Superb Phone on a Great Network.,1
257,Great Earpiece.,1
455,Not good when wearing a hat or sunglasses.,0
